day,time,course_code,room_code
Monday,1 8:50 - 9:45,CSE2259,LTL04
Monday,3 10:50 - 11:45,APT4002,NT05
Monday,6 1:25 - 2:20,CSE2251,NT05
Monday,7 2:30 - 3:25,MAT2501,NT05
Tuesday,1 8:50 - 9:45,CSE2252,LTL03
Tuesday,3 10:50 - 11:45,CSE2251,NT05
Tuesday,4 11:45 - 12:35,MAT2501,NT05
Tuesday,7 2:30 - 3:25,CSE2257,NT05
Wednesday,1 8:50 - 9:45,CSE2253,NT05
Wednesday,2 9:45 - 10:40,CSE1500,NT05
Wednesday,3 10:50 - 11:45,CSE2254,LTL01
Wednesday,6 1:25 - 2:20,CSE2258,NT05
Thursday,1 8:50 - 9:45,CSE2251,NT05
Thursday,2 9:45 - 10:40,CSE1500,NT05
Thursday,3 10:50 - 11:45,CSE2258,NT05
Thursday,4 11:45 - 12:35,CSE2257,NT05
Thursday,6 1:25 - 2:20,MAT2501,NT05
Thursday,7 2:30 - 3:25,CSE2253,NT05
Friday,1 8:50 - 9:45,CSE2257,NT05
Friday,2 9:45 - 10:40,CSE2253,NT05
Friday,6 1:25 - 2:20,MAT2501,NT05
Friday,7 2:30 - 3:25,CSE2258,NT05
Monday,1 8:50 - 9:45,CSE2253,NT06
Monday,2 9:45 - 10:40,MAT2501,NT06
Monday,3 10:50 - 11:45,CSE2252,LTL03
Monday,6 1:25 - 2:20,CSE2258,NT06
Monday,7 2:30 - 3:25,CSE1500,NT06
Tuesday,1 8:50 - 9:45,CSE2251,NT06
Tuesday,2 9:45 - 10:40,CSE2258,NT06
Tuesday,6 1:25 - 2:20,CSE2257,NT06
Tuesday,7 2:30 - 3:25,CSE2253,NT06
Wednesday,1 8:50 - 9:45,MAT2501,NT06
Wednesday,2 9:45 - 10:40,CSE2258,NT06
Wednesday,3 10:50 - 11:45,CSE2251,NT06
Wednesday,4 11:45 - 12:35,CSE2257,NT06
Thursday,1 8:50 - 9:45,CSE2254,LTL01
Thursday,3 10:50 - 11:45,CSE2259,LTL04
Thursday,6 1:25 - 2:20,MAT2501,NT06
Thursday,7 2:30 - 3:25,CSE2257,NT06
Friday,1 8:50 - 9:45,MAT2501,NT06
Friday,2 9:45 - 10:40,CSE2253,NT06
Friday,3 10:50 - 11:45,APT4002,NT06
Friday,6 1:25 - 2:20,CSE1500,NT06
Friday,7 2:30 - 3:25,CSE2251,NT06
Monday,1 8:50 - 9:45,CSE2251,NT05
Monday,2 9:45 - 10:40,CSE2258,NT05
Monday,3 10:50 - 11:45,FIN1002,NT06
Monday,4 11:45 - 12:35,CSE2253,NT06
Monday,6 1:25 - 2:20,MAT2501,NT04
Monday,7 2:30 - 3:25,CSE2252,DSL05
